title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
Torpid,Recondite,Taum,DECY52102604,tidal,209186778,274s,,,http://www.tidal.com/track/209186778
5.3,Architectural,"Architectural 05",NLCK41024118,tidal,126401433,480s,,,http://www.tidal.com/track/126401433
"Love Trade","Antigone, François X","We Move As One",FR9W11627566,tidal,84424154,371s,,,http://www.tidal.com/track/84424154
Vloer,"Jeroen Liebregts","Killer Door EP (Audio Assault)",NLCK41034231,tidal,64802661,349s,,,http://www.tidal.com/track/64802661
"O-Ton Reassembled 4","Luke Slater","Berghain Fünfzehn",DELG71401142,tidal,134777488,376s,,,http://www.tidal.com/track/134777488
"Opalocka Acid Groove 12 Bit Mix",Bjarki,"""б""",GBLFT1640008,tidal,215990333,263s,,,http://www.tidal.com/track/215990333
Sintesi,DIVIDE,"Computer Music",NLCK41068455,tidal,146205660,342s,,,http://www.tidal.com/track/146205660
Fine,"Diego Amura","Time Flies",NLCK41075787,tidal,165188222,319s,,,http://www.tidal.com/track/165188222
"Rhetoric (Original Mix)",Cravo,Proxy,NLCK41053973,tidal,104850150,364s,,,http://www.tidal.com/track/104850150
Zenith,Quelza,"Bareknuckle Boxing (Volume 2)",NLCK41086394,tidal,182508332,398s,,,http://www.tidal.com/track/182508332
"Newoldgen (Temudo Remix)",Coyu,"Post Raw Era Remixes, Pt. 1",QMFMF2050791,tidal,168695031,356s,,,http://www.tidal.com/track/168695031
"Grida e Caos",VSK,"Grida e Caos EP",NLCK41059066,tidal,117595813,356s,,,http://www.tidal.com/track/117595813
Sliders,"Glenn Wilson","Beta 6",NLCK41061999,tidal,134232826,315s,,,http://www.tidal.com/track/134232826
"Meccanismo di Reazione",VSK,"Grida e Caos EP",NLCK41059071,tidal,117595818,364s,,,http://www.tidal.com/track/117595818
"Ragnarok (Bas Mooy & Charlton Remix)",Grovskopa,"Mika et al EP (Audio Assault)",NLCK41034210,tidal,64802572,282s,,,http://www.tidal.com/track/64802572
Sangre,Reeko,Archives,NLCK41049691,tidal,95632511,374s,,,http://www.tidal.com/track/95632511
"Grovskopa (Oscar Mulero Remix)",Grovskopa,"Luscious Apparatus",NLCK41015478,tidal,62589206,314s,,,http://www.tidal.com/track/62589206
"Big Expansion (Original MIx)",Orbe,"Cronon EP",NLCK42225553,tidal,272997738,400s,,,http://www.tidal.com/track/272997738
"No More Spirit",Vrov,"On the Edge",US83Z2337119,tidal,313853203,293s,,,http://www.tidal.com/track/313853203
"Miles Away (CRAVO Remix)","Casual Treatment","Immersion Totale",NLCK42234873,tidal,310158331,302s,,,http://www.tidal.com/track/310158331
"Pro Move",Sintoma,"Magnitud Absoluta",GBKQU2353116,tidal,305644935,391s,,,http://www.tidal.com/track/305644935
Trauer,"Dave Wincent","Boston Vibe",DEH742304061,tidal,280461711,304s,,,http://www.tidal.com/track/280461711
"Boston Vibe","Dave Wincent","Boston Vibe",DEH742304058,tidal,280461708,336s,,,http://www.tidal.com/track/280461708
"Physical Lows (Original Mix)","Anthony Tring","Physical Lows",ESA062301171,tidal,300277388,377s,,,http://www.tidal.com/track/300277388
Desolation,"Justyn Nell",Desolation,NLCK42229874,tidal,290631503,310s,,,http://www.tidal.com/track/290631503
"Falling Forward",Phara,"Falling Forward",NLCK42228753,tidal,284485558,385s,,,http://www.tidal.com/track/284485558
"Audio Grape","Sev Dah","Merak EP",NLCK42235555,tidal,312174730,339s,,,http://www.tidal.com/track/312174730
"Souviens Toi D'Oublier",Quelza,"Les Somnolentes EP",NLCK42235505,tidal,312030945,448s,,,http://www.tidal.com/track/312030945
"Move That Body",Edvvin,"Move That Body",FRDX62308490,tidal,316033573,328s,,,http://www.tidal.com/track/316033573
"It Isn't Nice To Fool Mother Nature","x club.",HTJ001,QZWDD2364274,tidal,312448563,338s,,,http://www.tidal.com/track/312448563
"Your Life",EchoFaze,"Voodoo Turbo",CH6542367208,tidal,317581880,293s,,,http://www.tidal.com/track/317581880
"Observando-o (Original Mix)",MARTHIAL,"Parallel Aspect",CA5KR2382664,tidal,315657193,341s,,,http://www.tidal.com/track/315657193
"Groove Ladder (Original Mix)",Oddible,ML07,NLCK42233568,tidal,304714267,323s,,,http://www.tidal.com/track/304714267
"Trillone (Original Mix)","Black Hypnotist","ERA006 Various Artists",CA5KR2336762,tidal,283881157,361s,,,http://www.tidal.com/track/283881157
"2 Real 4 Tha Mainstream (Gina Demarchi Remix)","Ned Bennett","Tear Tha Club Up EP",NLCK42236642,tidal,316259799,424s,,,http://www.tidal.com/track/316259799
"Black Mesa","Mayeul, Pavel K. Novalis","Black Mesa",NLCK42227144,tidal,307295927,362s,,,http://www.tidal.com/track/307295927
"New Moon (Original Mix)","Åre:gone, Mattei","Untitled Rhythms 010 (Original)",NLCK42237089,tidal,318699713,430s,,,http://www.tidal.com/track/318699713
"Ipanema (Tom Hades Rework)","Marco Bailey","Ipanema Reworks",NLCK42236622,tidal,316238574,326s,,,http://www.tidal.com/track/316238574
Apex,"The Miller","Past & Present EP",NLCK42236298,tidal,315083530,330s,,,http://www.tidal.com/track/315083530
"The Eternal Swarm","Steve RedHead",DSVA004,NLCK42233836,tidal,305471074,310s,,,http://www.tidal.com/track/305471074
Cheque,"Ian McCoy","Cheque / Cmon",GBKQU2380738,tidal,316857493,303s,,,http://www.tidal.com/track/316857493
Multiversa,Regent,"Coral Knife",DEH742323024,tidal,315817944,322s,,,http://www.tidal.com/track/315817944
"Playful Brutality",Öspiel,BRV003,HUBK42200003,tidal,210352398,388s,,,http://www.tidal.com/track/210352398
Zygomatic,"Wrong Assessment",Pterygoid,NLCK41085439,tidal,179574233,281s,,,http://www.tidal.com/track/179574233
"The Cat Voted Twice",Temudo,Fidelio,NLCK42212476,tidal,221297537,310s,,,http://www.tidal.com/track/221297537
Contatto,"T Kode","Escape From Heart",NLCK41081604,tidal,173758213,270s,,,http://www.tidal.com/track/173758213
"La Valse 05",Quelza,"La Valse",NLCK41087034,tidal,183668584,450s,,,http://www.tidal.com/track/183668584
"Rib Cage",Rrose,"Please Touch",UKMYK2300002,tidal,294580194,499s,,,http://www.tidal.com/track/294580194
"Inner Engineering (Original Mix)","Augusto Taito","Light In The Dark",DEY472375994,tidal,305201525,381s,,,http://www.tidal.com/track/305201525
malabar,Phalcon,"hot steel: round 3",QMFME2351891,tidal,320298532,335s,,,http://www.tidal.com/track/320298532
"Välitila (Original Mix)",Homi,Välitila,NLM792200109,tidal,256772428,314s,,,http://www.tidal.com/track/256772428
"This is real","Julian Muller","S.M.F 01",NLCK42237285,tidal,319649792,292s,,,http://www.tidal.com/track/319649792
"Bright Grooves","Julian Muller","Dance With The Lights",FRDX62305200,tidal,294917097,338s,,,http://www.tidal.com/track/294917097
"It's got to be funky","Julian Muller","S.M.F 01",NLCK42237286,tidal,319649793,300s,,,http://www.tidal.com/track/319649793
Bojum,"Isaiah, Beau Didier, Flits","Heavy Rotations",FRDX62210720,tidal,267741226,331s,,,http://www.tidal.com/track/267741226
"Half Life","Jamie Haus","Various Artists Selected",NLCK41046910,tidal,87482303,308s,,,http://www.tidal.com/track/87482303
"Sixth Sense (Shlomi Aber Remix)","Josh Wink","Sixth Sense (Remixes)",US4LK1903072,tidal,112682118,385s,,,http://www.tidal.com/track/112682118
"Dont Play 158 (KUSS Remix)","Toru Ikemoto","Dont Play",DEH742321648,tidal,315590901,319s,,,http://www.tidal.com/track/315590901
"Entering 101 (2023 Edit)",Rødhåd,Revisited,DEYS32310910,tidal,296651225,356s,,,http://www.tidal.com/track/296651225
Functional,Slam,Significs,GBBVL1604593,tidal,59192025,452s,,,http://www.tidal.com/track/59192025
Pegasi,Jam,Pegasi,IL4091706202,tidal,135874891,364s,,,http://www.tidal.com/track/135874891
"Green Roads",Quelza,"REBUILD - Earthquake Fundraiser Compilation",GBKQU2334839,tidal,288721165,529s,,,http://www.tidal.com/track/288721165
Greven,"Alexander Johansson, Mattias Fridell","Missunnad EP",SE6ZQ2200101,tidal,219366037,350s,,,http://www.tidal.com/track/219366037
Lucidez,Nørbak,"MORD x RYC",NLCK42231623,tidal,296969910,313s,,,http://www.tidal.com/track/296969910
First_Antinomy,Moteka,"Temporal Finitism EP",NLCK41060807,tidal,122629633,281s,,,http://www.tidal.com/track/122629633
"Systeme Energetique","Casual Treatment",Sludge,NLCK42233362,tidal,304068572,313s,,,http://www.tidal.com/track/304068572
Hepta,Leiras,Hepta,NLCK41043434,tidal,80050486,352s,,,http://www.tidal.com/track/80050486
"Fog Catcher","Yan Cook","Drifted Island",NLCK41042703,tidal,126196019,301s,,,http://www.tidal.com/track/126196019
Explain,"Beau Didier",Distance,NLCK42235381,tidal,311973894,274s,,,http://www.tidal.com/track/311973894
"Jiggy Rhythm","OFF / GRID","Lost in Pace EP",NLCK42231766,tidal,297827497,320s,,,http://www.tidal.com/track/297827497
G-Wise,Jerome,"Polyphonic Highway",BEN582000161,tidal,132732141,291s,,,http://www.tidal.com/track/132732141
"NOW AND HERE","LOREN KUEHNE","RITUALISTIC DISCOTECA MUSIC FOR THE COLLECTIVE EXTASY INDUCTION PT​.​2",FRX872392530,tidal,299526803,444s,,,http://www.tidal.com/track/299526803
"Bang The Drums (Phil Berg Remix)","Levzon, Phil Berg","Mambata EP",NLCK42228583,tidal,283881018,325s,,,http://www.tidal.com/track/283881018
"UNKNOWN DISCIPLINE",P.E.A.R.L.,"THE LIGHT WE CHOSE",DGA062378638,tidal,305872513,305s,,,http://www.tidal.com/track/305872513
Luftblassen,G-Man,Avanti,QM4TW1884592,tidal,89226001,360s,,,http://www.tidal.com/track/89226001
Dispersion,Conforce,"Photic Zone",NLCK42211268,tidal,217658139,406s,,,http://www.tidal.com/track/217658139
Boxcutter,"Rennie Foster","The Collection (deluxe Edition)",DEAZ30608033,tidal,16018859,345s,,,http://www.tidal.com/track/16018859
"Keep Warm (edit) [ISH EP 01]",Isaiah,"Sloot EP [ISH EP 01]",QZS662250725,tidal,268185323,320s,,,http://www.tidal.com/track/268185323
Scintillate,Conforce,"Photic Zone",NLCK42211269,tidal,217658140,415s,,,http://www.tidal.com/track/217658140
